[1.4409220264216418, -0.46060381942631057]
[0.9480812749580355, -0.9347213081633378]
[1.4409220264216418, -0.8263653559380141]
[1.639646703242917, -0.9347213081633378]
[1.639646703242917, 0.16691701043153612]
[1.5377454764659886, -0.6797838316776458]
[0.9995433587685639, -0.5370582174288994]
[1.0631832293542067, -0.9347213081633378]
[1.4619708087268004, -0.9347213081633378]
[1.6337600604323703, -0.8751255344394097]
[1.1900800836708338, -0.9347213081633378]
[1.277251350147086, -0.9347213081633378]
[1.5569947609769414, -0.8833053465191645]
[1.9264478873254915, -0.9347213081633378]
[2.4162020025012656, -0.9347213081633378]
[1.3402500767221333, -0.9347213081633378]
[2.4162020025012656, -0.9347213081633378]
[2.150766604692841, -0.9347213081633378]
[2.221191106261401, -0.8350237053915329]
[2.4155088976826735, -0.8492632175403467]
[1.2728989902640309, -0.6366306275854915]
[0.9499099975979746, -0.2540278241302929]
[1.36257539496103, -0.7701962234383057]
[2.1360140156946, -0.3396563915041915]
[1.6367008521243602, -0.7437439423662049]
[0.9480812749580355, -0.33876357092405773]
[1.5637999963412876, -0.9347213081633378]
[1.1907670190647677, -0.6541021694272443]
[1.9264478873254915, -0.9347213081633378]
[1.0777923235660285, 0.09466023797723674]
[1.1907670190647677, -0.9347213081633378]
[1.2615761864209, -0.9347213081633378]
[1.925127752466225, -0.6963382132676257]
[1.2368419061810514, -0.2928008173330544]
[1.3962363038489347, -0.8685699993297776]
[1.6583306248522725, -0.9347213081633378]
[1.2368419061810514, 0.25848972661356856]
[1.486667251667249, -0.37872176877906966]
[1.36257539496103, -0.8829966743652116]
[1.5559877206200612, -0.537217497424738]
[2.013485444274161, -0.8804330460942126]
[1.9285039992954405, -0.007891719251088978]
[1.1336683436957797, -0.9347213081633378]
[1.3779800193415639, -0.9347213081633378]
[1.0459179361947812, -0.9347213081633378]
[1.1259661135703, -0.8354943449129977]
[0.9114858825870392, -0.8648170762817573]
[1.6583306248522725, -0.9347213081633378]
[1.1926729280498993, -0.023256533562085964]
[1.6821008258867194, -0.9347213081633378]
[1.9330684132738427, -0.9347213081633378]
[1.3402500767221333, -0.1770268117168854]
[1.3917070518635843, -0.9347213081633378]
[1.3917070518635843, -0.9347213081633378]
[1.9285039992954405, -0.6790554388876867]
[1.4397017933433909, -0.4554191280006828]
[0.9492123346255121, -0.9347213081633378]
[1.5095403128662062, -0.2715558759456717]
[2.066074779576218, -0.09264769107087871]
[2.1919511932007816, -0.41027849939277133]
[1.9264478873254915, 0.65275292817514]
[1.6001626221009446, -0.8354761013087965]
[1.6583306248522725, -0.9347213081633378]
[1.1648761576985227, -0.6371294250873596]
[1.1906204106812963, -0.6960160739501992]
[1.7703991330995779, -0.5179796386693951]
[1.9264478873254915, -0.6427807778505275]
[2.1919511932007816, -0.9347213081633378]
[1.0878479338676719, 0.4098429902396693]
[2.221191106261401, 0.4281103475612043]
[1.277251350147086, 0.33289690591048204]
[1.122682085780535, 0.25578639213276716]
[1.2277277641610411, -0.7757992448995297]
[1.0861420024848347, 0.3797911865473027]
[1.0905824989332955, 0.4281103475612043]
[1.014470437940113, -0.33876357092405773]
[1.0236963601410092, -0.7360687290835778]
[1.9211752528875832, 0.6669151106672271]
[1.190061629262442, -0.3987760983103909]
[1.1422943487563515, -0.9347213081633378]
[2.1508966983980256, -0.017298683102869784]
[1.142841942009542, -0.6963382132676257]
[1.9245623842181452, -0.8646201838818146]
[1.53327593153454, 0.17781259571495017]
[1.3417635431175663, 0.25719416631522224]
[1.0875963538816347, 0.020458880831231693]
[1.634171138840928, 0.001885871681914611]
[1.2766775095945535, -0.2667562849443719]
[1.7543069413603443, -0.1326615201288068]
[2.066074779576218, -0.25362675131844636]
[1.3402500767221333, 0.020339168181662277]
[1.1944720260236048, -0.339229162906276]
[1.142841942009542, -0.002130994861047711]
[1.0296118259886569, 0.25719416631522224]
[1.0106747111338898, 0.06002684016316135]
[2.1508966983980256, -0.48775300523387777]
[0.9988914747163455, 0.3894967839823422]
[1.227894126095128, 0.2559932439228004]
[1.6161376688574294, 0.25719416631522224]
[1.3383327333986363, 0.466293131019004]
[1.257451498673448, -0.9347213081633378]
[1.0706401032814858, -0.14019045287592974]
[0.9882025276332721, -0.9347213081633378]
[1.0424028465695085, -0.9347213081633378]
[1.919889005007944, -0.11457491600462288]
[1.0474600201722428, -0.9347213081633378]
[2.2781339820286868, 0.1563397800131902]
[1.409627106216129, -0.9347213081633378]
[1.2869389082196103, -0.6820515551831224]
[1.1926729280498993, -0.9347213081633378]
[1.229361676013679, -0.48242681289623196]
[1.7603101606970557, -0.9347213081633378]
[1.0474600201722428, -0.8646201838818146]
[1.142841942009542, -0.9347213081633378]
[0.9908848142491118, -0.8852021145376584]
[1.046916269472707, -0.6701160728290975]
[1.0331566325552055, -0.6594971895110157]
[1.3910214717290827, 0.08682971449642002]
[1.5090381973769171, -0.9347213081633378]
[1.1243116997294706, -0.3842310362220546]
[0.9494136808503648, -0.5800537767331321]
[0.9883273369814128, -0.11303594921296374]
[1.1981900330068587, -0.04078470230441783]
[0.9988914747163455, 0.2520119251218371]
[0.9995742545563228, 0.018811071419510217]
[1.195416012009808, 0.25719416631522224]
[1.5090381973769171, -0.8430157425622933]
